date,b/m,ntis,de,dp,dy,ep,svar,infl,ltr,tbl,lty,tms,corpr,dfr,dfy,ret_1m,ret_12m,ret_1m_fwd,vol_12m
1932-06-30,5.39220926729038,-0.7896530795869252,0.8713616651182438,-5.090979473089245,-18.208733747024866,-11.807268023194444,3.0928623653257508,-1.0216069459029267,0.4314131442320569,0.2513372746664021,16.78923528553637,2.3758079944923023,-0.08339518781704267,0.4063351134462717,4.313344438914372,-0.02018575456899198,-2.528386539659033,2.4488461279807248,0.13180265718522913
1932-07-31,4.071224507060792,-0.5542874670032153,0.833184184230848,-5.940305197343739,-18.136249324103154,-13.693136762627702,1.8103217814014418,0.0,3.019542489990619,0.15941875649045936,15.471413781184392,2.2241103547781753,0.40144618101075286,2.324737697091084,4.049573692730615,1.8018541727005355,-1.2174834554213372,1.8232952424153057,0.17912905028372794
1932-08-31,2.9639132060446642,-0.2826898550494644,0.7952026555977407,-6.899005304995621,-18.562075901920736,-15.668250213042326,3.4233571132399936,-1.0405770877287885,0.018968202772930518,0.09949672287948944,15.523561923289027,2.252911224953176,3.7202912071389034,-2.2260050436737466,2.4210155032914265,1.5470059644662706,-0.6102173617259166,-0.16960670795024743,0.21112080538963832
1932-09-30,2.9936993835562804,0.013153237502200708,0.7571332896359817,-6.931235524278975,-16.58772368695355,-15.71320010415593,3.509153007268181,-1.0542254920487062,0.3630348283420016,0.02090879577711579,15.411552061704347,2.280145938230094,2.4948354039213667,-1.2490669817296363,2.134866620523467,-0.19220159328787234,-0.19915649842718314,-0.7801830996708236,0.18630181035133395
1932-10-31,3.382862644148678,-0.05336709123422186,0.7182636157590383,-6.650353460951827,-17.414040168580154,-15.207325268756927,2.8161019731599497,-1.0679965887866223,-0.10897066002165165,0.006846006579230745,15.576910476867393,2.279200654507582,0.6174673578798809,-0.46853816394042686,2.369853295955121,-0.7753390460695556,-0.5510134251399939,-0.22917135444869843,0.18746576044507676
1932-11-30,3.606010378611437,-0.061363260374742504,0.6778787269196399,-6.607017686906044,-17.104846836045727,-15.191640007486827,1.8394663703154728,-1.0818931814094412,0.20660076524215262,0.006736476287553902,15.599411166425151,2.24626800041696,0.6131811004952,-0.21256446164465587,2.637787501657656,-0.23013629389715085,-0.48553439318967745,0.29330579738534074,0.18667973445836983
1932-12-31,3.304916831186771,-0.09246480642523686,0.6356565633110074,-6.889767639560933,-16.316886636372526,-15.781319820048093,0.8122324183694292,-1.0959181029891243,0.8495871739012357,0.02656852097155641,15.208346779335761,2.1512116869017137,1.1701962750521557,-0.04177101230824239,2.780173438329654,0.298542683754789,-0.1661415054470833,0.04614963696600764,0.18340509196992677
1933-01-31,3.214307089980338,-0.11863486031897016,0.5818247729776032,-6.9531946022854605,-16.020273217466833,-15.872917090468896,0.4731043852405815,-2.185141077469919,0.963190481193977,0.04592450945002946,14.732682405252989,2.0632314328368553,4.145041423314614,-2.038355361310768,2.584510025121021,0.04617389026161716,-0.10216180424371646,-1.0604826580464124,0.18330875661922025
1933-02-28,3.6894357290151265,-0.10585775500677548,0.5288330743445995,-6.41398430010773,-16.300400520784272,-14.744502967448204,1.2593315506116403,-2.1960247128036783,-1.6488164800521201,0.006481807722742073,15.601763670833039,2.1953796450459553,-3.5595657429249683,1.3452741429820496,2.7984426035096823,-1.0231043749541213,-0.471548833284373,0.17859289480379245,0.1900057923918572
1933-03-31,3.170884708845513,-0.39441423308272977,0.4764080173908616,-6.512845810271822,-15.36693541253792,-14.968866390293748,2.9332874847377584,-1.121137558763606,0.6234893667110457,0.8709540959263216,15.434190064095084,1.2716878235298323,0.32206396334319615,0.2554237261606604,3.0111892245043674,0.18059340718130462,-0.229998260333872,1.8798856699203457,0.18790101489520522
1933-04-30,2.402339821800318,-0.1143791443466242,0.4243162607185984,-7.509534911264815,-13.418540890315494,-16.819859679575423,2.2645200180494784,0.0,-0.20680491429701361,0.29095923694355186,15.68370959629376,1.8953047669107301,-0.6516161707184979,0.3237468536246595,3.054996179513307,1.7488212519632158,0.6133214924904661,0.7664622558815533,0.2019831500037235
1933-05-31,2.001480593346585,-0.053778982484644654,0.3723566777462022,-7.974847946314404,-10.90081892758637,-17.196919415455717,0.9354325173320035,0.0,1.9335744007349944,0.18628029483054034,14.747583050864256,1.8808359606940717,3.7270100972142064,-1.454384547721667,2.195628899370727,0.8464262495013035,1.3153507673529365,0.6845506366932058,0.18290129930768134
1933-06-30,1.806858541244912,0.013618686580392577,0.32035437747334017,-8.367377379043962,-10.080844967289389,-17.13350589589673,1.5541379487467035,1.1239602318027624,0.3211538949235998,0.044578843084365605,14.52101740850276,2.0036949409399942,1.205704168873591,-0.7169767333731973,1.8528991051932375,0.6877857403373956,1.5243325955015703,-0.49728710243666724,0.18204099554560121
1933-07-31,1.9625282300063989,0.0485473165238346,0.26815613860925536,-8.19692692571324,-11.36190518704271,-16.270084470303843,2.5436890728411012,3.895516567769244,-0.10980723877476947,0.12021814475508448,14.581067539667501,1.9348167241924192,1.0249106468948954,-0.9130936984521492,1.6146152746092286,-0.5303242856771023,0.9266764706170935,0.6641598074750051,0.17070053483214812
1933-08-31,1.7494911850113901,0.03840394497689365,0.21562690407448384,-8.546218282778913,-12.88157522292598,-16.246990565180933,0.9251428569629788,0.9384314229232722,0.286020749566743,0.006277019243682029,14.447809022507949,2.0362052293151187,0.5955211631480267,-0.2529019951278895,1.7749991135997587,0.7637371930088184,0.6509457520896387,-0.8014259219182349,0.14844430176741552
